fips,Current Price (2021/4/30)
17091,160881
23011,219370
55061,162652
26083,146296
53037,421341
16055,463965
8067,489921
18091,174227
17099,126851
22059,85485
18087,227850
50015,302351
48281,208259
55067,118451
1079,124738
5075,70219
17101,55845
18093,124969
21127,125327
29109,127114
28077,101569
39087,113927
42073,118715
46081,262970
47099,128329
27079,229057
26089,373786
48297,148007
42081,174421
26097,121509
17117,89992
21153,46816
27087,93510
39099,121450
26101,146517
55073,189501
4013,364820
6043,320255
45069,51284
1095,155777
19127,115456
17123,96783
18099,168238
20117,111983
21157,148584
27089,112689
28093,118598
40095,95196
47117,204642
54051,89630
48323,148137
21147,56924
29119,121508
37111,163960
13189,129806
13191,162114
40091,88211
38053,269588
35031,178220
48309,195423
21169,89793
16067,201830
30063,433622
13205,89673
19131,127829
37121,153643
48335,72747
29135,148811
34025,521155
48337,118612
26117,167461
6053,696618
8085,305972
27097,210185
17139,109491
13215,133106
26121,173249
40101,83701
51127,294355
36061,954604
45071,146794
21181,99593
54067,71594
27103,245501
51135,115286
31129,62131
12091,285032
53047,255988
40107,77081
40109,168358
40111,69595
36067,177120
5103,54579
22073,148519
13223,248098
39125,100969
29155,78310
32027,151105
5107,28591
8095,167797
20147,78399
39129,201533
12103,289185
19149,174850
25023,479821
5111,68929
28115,122160
40123,108586
51145,320249
28117,97618
1111,113008
5121,92602
13243,60368
17157,90295
18135,94687
29175,102623
37151,171644
54083,96677
27125,121967
27129,127032
38075,172681
20157,66097
29179,122882
17159,92993
22083,99516
30083,344318
38077,135402
39139,131310
45079,175007
55103,144626
13245,137437
37153,79119
36085,571770
51159,159264
19159,99495
13247,223370
36087,519409
48397,331707
8109,179739
8111,310532
35045,154997
49037,223285
53055,672783
48411,124879
35043,260158
39143,132409
17167,141552
35049,431358
12115,318811
36091,312148
31155,205862
17169,98682
36097,156371
37165,80369
8115,72479
20173,167512
12117,306243
13253,97208
40133,63462
40135,93584
56033,300550
16079,151842
6093,230819
53059,389145
24039,119607
23025,143018
34035,461999
42111,118050
13255,162353
20185,66402
51179,423854
13257,128527
40137,87251
48429,89086
29207,99232
38093,173933
56035,297254
18153,96351
29211,46851
33019,221719
36105,210682
42113,177764
47163,154686
12121,149633
13267,117260
17179,132733
51185,95263
31173,91041
53067,430141
36109,236223
35057,124973
27155,53093
13283,71831
39155,117899
6109,321426
41059,232693
35061,187129
39161,110811
48469,171528
28147,118860
55127,271614
56043,188203
55129,176007
27165,104659
55133,336306
55137,153966
24045,183421
38105,268957
39171,119416
19193,135993
17203,172316
21239,217636
5147,43804
40153,110816
45001,132454
51003,403382
37003,167895
19005,149735
37005,179806
51005,109678
42003,198400
45005,35700
2020,348315
19007,77947
8007,353337
51013,799994
42005,118747
48011,134406
23003,112573
22005,242648
39007,122991
22009,109471
24005,292054
16007,247480
25003,272647
22013,63309
27011,91695
18009,79836
29017,130906
46009,126262
51023,243123
31013,106147
49003,315502
46011,220465
37019,289878
51025,118958
6009,395196
22019,175361
50005,175992
17019,160334
39021,155450
12015,255591
51037,137821
13055,88536
26031,159264
19037,132936
28017,82905
48075,69163
17021,85187
21047,116213
29043,228402
32001,268537
41005,529516
22027,117329
47025,121495
45027,124730
5025,96667
37045,142360
40027,187121
46029,214977
22029,139335
39031,125121
